qid,题目,选项数,选项(|分隔)
LearnCodeAI,Did you spend time in the last year learning AI programming or AI-enabled tooling on your own or at work?,5,"Yes, I learned how to use AI-enabled tools required for my job or to benefit my career | Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies | No, I learned something that was not related to AI or AI enablement as required for my job or to benefit my career | No, I didn't spend time learning in the past year | No, I learned something that was not related to AI or AI enablement for my personal curiosity and/or hobbies"
PurchaseInfluence,Have you <strong>influenced or endorsed</strong> a new technology purchase at your organization or sole proprietor job in the past year?,5,"No | Yes, I influenced the purchase of a substantial addition to the tech stack | Yes, I endorsed a tool that was open-source and is currently used by more than just myself but no purchase was made | Yes, I influenced the purchase of a tool that more than five colleagues use but it is not a substantial addition to the tech stack | Yes, I endorsed a tool that was ultimately not purchased or used at my organization"
AIThreat,Do you believe AI is a threat to your current job?,3,No | I'm not sure | Yes
NewRole,Have you considered a career change or transitioned into a new role in the past year?,5,I have neither consider or transitioned into a new career or industry | I have somewhat considered changing my career and/or the industry I work in | I have strongly considered changing my career and/or the industry I work in | I have transitioned into a new career and/or industry voluntarily | I have transitioned into a new career and/or industry involuntarily
SOVisitFreq,How frequently would you say you visit Stack Overflow?,7,"A few times per month or weekly | A few times per week | Daily or almost daily | Less than once per month or monthly | Multiple times per day | Less than once every 2 - 3 months | Infrequently, less than once per year"
SODuration,How long have you used Stack Overflow?,7,"Between 10 and 15 years | Between 5 and 10 years | More than 15 years, or since Stack Overflow started in 2008 | Between 3 and 5 years | Between 1 and 3 years | Less than one year | I don't use Stack Overflow"
SOComm,Do you consider yourself a member of the Stack Overflow community?,6,"No, not really | Yes, somewhat | Neutral | No, not at all | Yes, definitely | Not sure"
SOFriction,"When you visit Stack Overflow, how often is it a result of encountering issues from AI or AI-enabled tools that require extra time or effort to fix, understand, or debug?",5,"Rarely, almost never | I don't use AI or AI-enabled tools | Less than half of the time | About half of the time | More than half the time"
AISelect,Do you currently use AI tools in your development process?,5,"Yes, I use AI tools daily | Yes, I use AI tools weekly | No, and I don't plan to | Yes, I use AI tools monthly or infrequently | No, but I plan to soon"
AISent,How favorable is your stance on using AI tools as part of your development workflow?,6,Favorable | Very favorable | Indifferent | Unfavorable | Very unfavorable | Unsure
AIAcc,How much do you trust the accuracy of the output from AI tools as part of your development workflow?,5,Somewhat trust | Somewhat distrust | Neither trust nor distrust | Highly distrust | Highly trust
AIAgents,Are you using AI agents in your work (development or otherwise)?  AI agents refer to autonomous software entities that can operate with minimal to no direct human intervention using artificial intelligence techniques.,6,"No, and I don't plan to | No, but I plan to | Yes, I use AI agents at work daily | No, I use AI exclusively in copilot/autocomplete mode | Yes, I use AI agents at work weekly | Yes, I use AI agents at work monthly or infrequently"
AIAgentChange,Have AI tools or AI agents changed how you complete development work in the past year?,5,"Not at all or minimally | Yes, somewhat | Yes, to a great extent | No, but my development work has changed somewhat due to non-AI factors | No, but my development work has significantly changed due to non-AI factors"
