qid,题目,选项数,选项(|分隔)
a15,您觉得您目前的身体健康状况是,5,很不健康 | 比较不健康 | 一般 | 比较健康 | 很健康
a16,在过去的四周中，由于健康问题影响到您的工作或其他日常活动的频繁程度是,5,总是 | 经常 | 有时 | 很少 | 从不
a17,在过去的四周中，您感到心情抑郁或沮丧的频繁程度,5,总是 | 经常 | 有时 | 很少 | 从不
a281,过去一年，您对以下媒体的使用情况是-报纸,5,从不 | 很少 | 有时 | 经常 | 非常频繁
a282,过去一年，您对以下媒体的使用情况是-杂志,5,从不 | 很少 | 有时 | 经常 | 非常频繁
a283,过去一年，您对以下媒体的使用情况是-广播,5,从不 | 很少 | 有时 | 经常 | 非常频繁
a284,过去一年，您对以下媒体的使用情况是-电视,5,从不 | 很少 | 有时 | 经常 | 非常频繁
a285,过去一年，您对以下媒体的使用情况是-互联网（用手机、电脑、平板、智能穿戴设备等上网）,5,从不 | 很少 | 有时 | 经常 | 非常频繁
a29,以上媒体中哪个是您最主要的信息来源,5,报纸 | 杂志 | 广播 | 电视 | 互联网（用手机、电脑、平板、智能穿戴设备等上网）
a3001,过去一年，您是否常在空闲时间从事以下活动-看电视或看碟,5,每天 | 一周数次 | 一月数次 | 一年数次或更少 | 从不
a3002,过去一年，您是否常在空闲时间从事以下活动-出去看电影,5,每天 | 一周数次 | 一月数次 | 一年数次或更少 | 从不
a3003,过去一年，您是否常在空闲时间从事以下活动-逛街购物,5,每天 | 一周数次 | 一月数次 | 一年数次或更少 | 从不
a3004,过去一年，您是否常在空闲时间从事以下活动-读书/报纸/杂志,5,每天 | 一周数次 | 一月数次 | 一年数次或更少 | 从不
a3005,过去一年，您是否常在空闲时间从事以下活动-参加文化活动，比如听音乐会看演出或展览,5,每天 | 一周数次 | 一月数次 | 一年数次或更少 | 从不
a3007,过去一年，您是否常在空闲时间从事以下活动-与朋友聚会,5,每天 | 一周数次 | 一月数次 | 一年数次或更少 | 从不
a3008,过去一年，您是否常在空闲时间从事以下活动-在家听音乐,5,每天 | 一周数次 | 一月数次 | 一年数次或更少 | 从不
a3009,过去一年，您是否常在空闲时间从事以下活动-参加体育锻炼,5,每天 | 一周数次 | 一月数次 | 一年数次或更少 | 从不
a3010,过去一年，您是否常在空闲时间从事以下活动-现场观看体育比赛,5,每天 | 一周数次 | 一月数次 | 一年数次或更少 | 从不
a3011,过去一年，您是否常在空闲时间从事以下活动-做手工，比如刺绣、木工,5,每天 | 一周数次 | 一月数次 | 一年数次或更少 | 从不
a3012,过去一年，您是否常在空闲时间从事以下活动-上网,5,每天 | 一周数次 | 一月数次 | 一年数次或更少 | 从不
a32,在过去一年中，您有多少个晚上是因为出去度假或者探访亲友而没有在家过夜,6,从未 | 1-5个晚上 | 6-10个晚上 | 11-20个晚上 | 21-30个晚上 | 超过30个晚上
a33,总的来说，您同不同意在这个社会上，绝大多数人都是可以信任的,5,非常不同意 | 比较不同意 | 说不上同意不同意 | 比较同意 | 非常同意
a34,总的来说，您同不同意在这个社会上，您一不小心，别人就会想办法占您的便宜,5,非常不同意 | 比较不同意 | 说不上同意不同意 | 比较同意 | 非常同意
a35,总的来说，您认为当今社会公不公平,5,完全不公平 | 比较不公平 | 说不上公平但也不能说不公平 | 比较公平 | 完全公平
a36,总的来说，您觉得您的生活是否幸福,5,非常不幸福 | 比较不幸福 | 说不上幸福不幸福 | 比较幸福 | 非常幸福
a38,您认为婚前性行为对不对,5,总是不对的 | 大多数情况下是不对的 | 说不上对与不对 | 有时是对的 | 完全是对的
a39,您认为婚外性行为对不对,5,总是不对的 | 大多数情况下是不对的 | 说不上对与不对 | 有时是对的 | 完全是对的
a40,您认为同性间的性行为对不对,5,总是不对的 | 大多数情况下是不对的 | 说不上对与不对 | 有时是对的 | 完全是对的
a41,您认为有子女的老人的养老主要应该由谁负责,4,主要由政府负责 | 主要由子女负责 | 主要由老人自己负责 | 政府/子女/老人责任均摊
a421,您是否同意-男人以事业为重，女人以家庭为重,5,完全不同意 | 比较不同意 | 无所谓同意不同意 | 比较同意 | 完全同意
a422,您是否同意-男性能力天生比女性强,5,完全不同意 | 比较不同意 | 无所谓同意不同意 | 比较同意 | 完全同意
a423,您是否同意-干得好不如嫁得好,5,完全不同意 | 比较不同意 | 无所谓同意不同意 | 比较同意 | 完全同意
a424,您是否同意-在经济不景气时，应该先解雇女性员工,5,完全不同意 | 比较不同意 | 无所谓同意不同意 | 比较同意 | 完全同意
a425,您是否同意-夫妻应该均等分摊家务,5,完全不同意 | 比较不同意 | 无所谓同意不同意 | 比较同意 | 完全同意
a43e,您本人目前社会经济地位,5,上层 | 中上层 | 中层 | 中下层 | 下层
a44,上次居委会选举/村委会选举，您是否参加了投票,3,是 | 否 | 没有投票资格
a46,您是否同意以下说法-如果有人在公共场所发布批评政府的言论，政府不应该干涉。,5,完全不同意 | 比较不同意 | 无所谓同意不同意 | 比较同意 | 完全同意
a47,您是否同意以下说法-生多少孩子是个人的事，政府不应该干涉。,5,完全不同意 | 比较不同意 | 无所谓同意不同意 | 比较同意 | 完全同意
a48,您是否同意以下说法-在哪里工作和生活是个人的自由，政府不应该干涉。,5,完全不同意 | 比较不同意 | 无所谓同意不同意 | 比较同意 | 完全同意
a64,您家的家庭经济状况在所在地属于哪一档？,5,远低于平均水平 | 低于平均水平 | 平均水平 | 高于平均水平 | 远高于平均水平
b1,"与同龄人相比,您本人的社会经济地位是",4,较高 | 差不多 | 较低 | 不好说
b2,"与三年前相比,您的社会经济地位是",4,上升了 | 差不多 | 下降了 | 不好说
b4,根据您的一般印象您对一些重要事情所持的观点和看法与社会大众一致的时候有多少,5,非常少 | 比较少 | 一般 | 比较多 | 非常多
b5,"您和亲人,朋友之间的接触和联系的情况怎么样",5,非常不密切 | 不密切 | 一般 | 密切 | 非常密切
