qid,题目,选项数,选项(|分隔)
econ_sit,"How would you describe the current economic situation in (survey country) – is it very good, somewhat good, somewhat bad or very bad?",4,Very good | Somewhat good | Somewhat bad | Very bad
satisfied_democracy,"How satisfied are you with the way democracy is working in (survey country) – very satisfied, somewhat satisfied, not too satisfied, or not at all satisfied?",4,Very satisfied | Somewhat satisfied | Not too satisfied | Not at all satisfied
fav_us,"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of …? — The United States",4,Very favorable | Somewhat favorable | Somewhat unfavorable | Very unfavorable
fav_china,"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of …? — China",4,Very favorable | Somewhat favorable | Somewhat unfavorable | Very unfavorable
fav_eu,"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of …? — The European Union",4,Very favorable | Somewhat favorable | Somewhat unfavorable | Very unfavorable
fav_un,"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of …? — The United Nations",4,Very favorable | Somewhat favorable | Somewhat unfavorable | Very unfavorable
fav_russia,"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of …? — Russia",4,Very favorable | Somewhat favorable | Somewhat unfavorable | Very unfavorable
fav_israel,"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of …? — Israel",4,Very favorable | Somewhat favorable | Somewhat unfavorable | Very unfavorable
fav_india,"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of …? — India",4,Very favorable | Somewhat favorable | Somewhat unfavorable | Very unfavorable
partyfav_brazil_pl,"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? — PL, Partido Liberal",4,Very favorable | Somewhat favorable | Somewhat unfavorable | Very unfavorable
partyfav_brazil_pt,"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? — PT, Partido dos Trabalhadores",4,Very favorable | Somewhat favorable | Somewhat unfavorable | Very unfavorable
partyfav_brazil_mdb,"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? — MDB, Movimento Democratico Brasileiro",4,Very favorable | Somewhat favorable | Somewhat unfavorable | Very unfavorable
partyfav_brazil_republicans,"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? — Republicanos",4,Very favorable | Somewhat favorable | Somewhat unfavorable | Very unfavorable
partyfav_brazil_pp,"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? — PP, Partido Progressista",4,Very favorable | Somewhat favorable | Somewhat unfavorable | Very unfavorable
confid_trump,Tell me how much confidence you have in each leader to do the right thing regarding world affairs — U.S. President Donald Trump,5,A lot of confidence | Some confidence | Not too much confidence | No confidence at all | Never heard of this person
confid_xi,Tell me how much confidence you have in each leader to do the right thing regarding world affairs — Chinese President Xi Jinping,5,A lot of confidence | Some confidence | Not too much confidence | No confidence at all | Never heard of this person
confid_putin,Tell me how much confidence you have in each leader to do the right thing regarding world affairs — Russian President Vladimir Putin,5,A lot of confidence | Some confidence | Not too much confidence | No confidence at all | Never heard of this person
confid_macron,Tell me how much confidence you have in each leader to do the right thing regarding world affairs — French President Emmanuel Macron,5,A lot of confidence | Some confidence | Not too much confidence | No confidence at all | Never heard of this person
confid_netanyahu,Tell me how much confidence you have in each leader to do the right thing regarding world affairs — Israeli Prime Minister Benjamin Netanyahu,5,A lot of confidence | Some confidence | Not too much confidence | No confidence at all | Never heard of this person
confid_zelenskyy,Tell me how much confidence you have in each leader to do the right thing regarding world affairs — Ukrainian President Volodymyr Zelenskyy,5,A lot of confidence | Some confidence | Not too much confidence | No confidence at all | Never heard of this person
trump_personality_qualified,Please tell me whether you think the following describes U.S. President Donald Trump. Do you think of Donald Trump as ...? — Well-qualified to be president,2,Yes | No
trump_personality_strong,Please tell me whether you think the following describes U.S. President Donald Trump. Do you think of Donald Trump as ...? — A strong leader,2,Yes | No
