qid,题目,选项数,选项(|分隔)
econ_sit,How would you describe the current economic situation in the U.S.?,4,Very good | Somewhat good | Somewhat bad | Very bad
children_betteroff2,"When children today in the U.S. grow up, do you think they will be…",2,Better off financially than their parents | Worse off financially than their parents
satisfied_democracy,How satisfied are you with the way democracy is working in the U.S.?,4,Very satisfied | Somewhat satisfied | Not too satisfied | Not at all satisfied
fav_us,The U.S. // Do you have a favorable or unfavorable opinion of…,4,Very favorable | Somewhat favorable | Somewhat unfavorable | Very unfavorable
fav_china,China // Do you have a favorable or unfavorable opinion of…,4,Very favorable | Somewhat favorable | Somewhat unfavorable | Very unfavorable
fav_eu,The European Union // Do you have a favorable or unfavorable opinion of…,4,Very favorable | Somewhat favorable | Somewhat unfavorable | Very unfavorable
fav_un,The United Nations // Do you have a favorable or unfavorable opinion of…,4,Very favorable | Somewhat favorable | Somewhat unfavorable | Very unfavorable
fav_nato,"NATO, that is, North Atlantic Treaty Organization // Do you have a favorable or unfavorable opinion of…",4,Very favorable | Somewhat favorable | Somewhat unfavorable | Very unfavorable
fav_russia,Russia // Do you have a favorable or unfavorable opinion of…,4,Very favorable | Somewhat favorable | Somewhat unfavorable | Very unfavorable
fav_india,India // Do you have a favorable or unfavorable opinion of…,4,Very favorable | Somewhat favorable | Somewhat unfavorable | Very unfavorable
fav_mexico,Mexico // Do you have a favorable or unfavorable opinion of…,4,Very favorable | Somewhat favorable | Somewhat unfavorable | Very unfavorable
fav_brazil,Brazil // Do you have a favorable or unfavorable opinion of…,4,Very favorable | Somewhat favorable | Somewhat unfavorable | Very unfavorable
fav_uk,The United Kingdom // Do you have a favorable or unfavorable opinion of…,4,Very favorable | Somewhat favorable | Somewhat unfavorable | Very unfavorable
fav_germany,Germany // Do you have a favorable or unfavorable opinion of…,4,Very favorable | Somewhat favorable | Somewhat unfavorable | Very unfavorable
fav_france,France // Do you have a favorable or unfavorable opinion of…,4,Very favorable | Somewhat favorable | Somewhat unfavorable | Very unfavorable
partyfav_rep,The Republican Party // Do you have a favorable or unfavorable opinion of each of the following?,4,Very favorable | Mostly favorable | Mostly unfavorable | Very unfavorable
partyfav_dem,The Democratic Party // Do you have a favorable or unfavorable opinion of each of the following?,4,Very favorable | Mostly favorable | Mostly unfavorable | Very unfavorable
confid_xi,Chinese President Xi Jinping // How much confidence do you have in each of the following leaders to do the right thing regarding world affairs?,5,A lot of confidence | Some confidence | Not too much confidence | No confidence at all | Never heard of this person
confid_putin,Russian President Vladimir Putin // How much confidence do you have in each of the following leaders to do the right thing regarding world affairs?,5,A lot of confidence | Some confidence | Not too much confidence | No confidence at all | Never heard of this person
confid_macron,French President Emmanuel Macron // How much confidence do you have in each of the following leaders to do the right thing regarding world affairs?,5,A lot of confidence | Some confidence | Not too much confidence | No confidence at all | Never heard of this person
confid_zelenskyy,Ukrainian President Volodymyr Zelenskyy // How much confidence do you have in each of the following leaders to do the right thing regarding world affairs?,5,A lot of confidence | Some confidence | Not too much confidence | No confidence at all | Never heard of this person
confid_netanyahu,Israeli Prime Minister Benjamin Netanyahu // How much confidence do you have in each of the following leaders to do the right thing regarding world affairs?,5,A lot of confidence | Some confidence | Not too much confidence | No confidence at all | Never heard of this person
